,Native dbh in cm,,,,Native th in m,,,,Exotic dbh in cm,,,,Exotic th in m,,,
cycle,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult,Seedling,Sapling,Pole,Adult
100,1.371086717,2.800477869,19.80660897,39.42478582,1.623175287,2.674787132,14.06926488,18.51388074,1.425478021,3.464141254,25.07891156,50.75051443,1.662625473,2.80711043,12.07932832,13.41544926
101,1.300996825,2.835047899,19.83750807,39.4427332,1.598427974,2.705091055,14.08152684,18.51654419,1.478812406,3.519176094,25.14215431,50.82593567,1.685382462,2.841014283,12.08971868,13.41754101
102,1.255943924,2.869461375,19.86187545,39.44413166,1.582355456,2.735469266,14.09148931,18.51668488,1.532145622,3.574587264,25.2065542,50.89895681,1.708615877,2.875339739,12.10021168,13.41954181
103,1.228240821,2.901243338,19.88061275,39.43539118,1.572418327,2.763670513,14.09953049,18.5153765,1.58547711,3.629887558,25.26986468,50.97628475,1.732311957,2.90973256,12.11058631,13.42163021
104,1.259990474,2.933243236,19.90765917,39.45156435,1.586606089,2.792217415,14.11030004,18.51773285,1.638810029,3.685407024,25.33283541,51.05307046,1.75645904,2.944452406,12.1207692,13.42369466
105,1.286912838,2.955109812,19.92904871,39.45074564,1.598555533,2.812161684,14.11917156,18.51754884,1.692146446,3.740767575,25.37812401,51.10507983,1.781045453,2.979182346,12.12848229,13.42497364
106,1.285029279,2.916229367,19.94960242,39.44877763,1.594514591,2.780208408,14.12762265,18.51724198,1.754128766,3.804456346,25.42055103,51.14274324,1.810152979,3.019407168,12.13588866,13.42578145
107,1.275421437,2.875128166,19.95471387,39.39724548,1.585933619,2.746027458,14.13141218,18.50961771,1.81819355,3.869253334,25.46655287,51.18185965,1.840820054,3.060468803,12.14400126,13.42667497
108,1.251961029,2.829750264,19.980859,39.4132865,1.56904314,2.707788862,14.14169706,18.51189493,1.877553633,3.932305607,25.51222243,51.22361994,1.869747775,3.100651504,12.1517496,13.42759244
109,1.259862364,2.833676323,20.0085732,39.42834503,1.569852764,2.711585385,14.15246533,18.51401764,1.763711638,3.991066111,25.55932657,51.28032858,1.821440287,3.138236104,12.15949463,13.42895732
110,1.290673608,2.864551581,20.03522752,39.4453734,1.584200675,2.738584397,14.16291485,18.51645034,1.822728802,4.052111596,25.62848478,51.36204212,1.849530817,3.17744539,12.17023807,13.43106173
111,1.321304806,2.896029664,20.05555768,39.43683761,1.598828687,2.766276398,14.17146031,18.51506466,1.372216765,3.16489876,25.70062842,51.45064078,1.640389546,2.637257993,12.18139915,13.43335999
112,1.352297721,2.927388474,20.07826243,39.44167832,1.614009379,2.793998668,14.18058487,18.51572065,1.425552854,3.219708624,25.7609621,51.5255259,1.662657073,2.669495062,12.190623,13.43526914
113,1.312467942,2.963182046,20.10324703,39.45074767,1.601463331,2.825840069,14.19057025,18.51701737,1.478885943,3.277578208,25.8240469,51.59671787,1.685414182,2.703921718,12.20016173,13.43709158
114,1.261900313,2.997865977,20.12568976,39.44528649,1.583502688,2.856853471,14.19981456,18.51621762,1.53221624,3.336838993,25.88493808,51.66846623,1.708646961,2.739449104,12.20934501,13.43892131
115,1.227307496,3.029395869,20.1450634,39.43005985,1.570954873,2.885184128,14.20812822,18.51398224,1.585550131,3.394052247,25.95434229,51.75651775,1.732344723,2.773874714,12.21979815,13.44105927
116,1.259184043,3.061092493,20.16127549,39.40458163,1.58519755,2.913797386,14.21555944,18.51029301,1.6388863,3.450364139,26.01871592,51.82953553,1.756493899,2.80790766,12.22951022,13.44293742
117,1.284512246,3.079660889,20.1895547,39.43189061,1.596231447,2.931122779,14.22632662,18.51428203,1.692222694,3.506237732,26.080626,51.90065529,1.781080919,2.84188512,12.23869059,13.44471637
118,1.278657131,3.032550701,20.21116733,39.42370001,1.589856099,2.891512074,14.2351937,18.51309082,1.753698812,3.571278597,26.15373091,51.97965223,1.809949204,2.881664935,12.24951377,13.44663892
119,1.277340817,3.006118141,20.23060154,39.41292004,1.585886654,2.869531492,14.24318258,18.51158476,1.817818973,3.640973938,26.23069145,52.06784993,1.840639082,2.924640925,12.26085243,13.44881492
120,1.26050917,2.96581901,20.24774566,39.40277157,1.572796665,2.835285021,14.25038516,18.51008616,1.877233136,3.703136506,26.20862445,51.99621874,1.869590286,2.96310936,12.25876688,13.44599151
