seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,331,15,1,1,15,50,0.3,90.12,98.7,104978,136668,24756,16834,6104,47168,4340,37289,55938053.38843535,73280498.48772609,17342445.099290743,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,7,0
10.0,332,15,1,1,15,50,0.3,90.12,98.7,103726,135396,24692,16849,5943,46032,4281,37270,56076029.25162035,73280498.48772609,17204469.23610574,40674.416614999995,0.0,13992779.977524402,16725591.00000001,100,1059,16,9,0
10.0,333,15,1,1,15,50,0.3,90.12,98.7,101642,135043,24649,16898,5791,44940,4227,37258,56202001.40620035,73280498.48772609,17078497.081525743,37057.72587999999,0.0,13992779.977524402,16725591.00000001,100,1059,11,10,0
10.0,334,15,1,1,15,50,0.3,90.12,98.7,94494,139723,24669,16922,5623,43758,4260,37233,56307006.01610535,73280498.48772609,16973492.471620746,49638.25268499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,335,15,1,1,15,50,0.3,90.12,98.7,88423,143294,24643,16945,5454,42630,4262,37209,56466526.24216535,73280498.48772609,16813972.245560743,62218.77948999998,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,336,15,1,1,15,50,0.3,90.12,98.7,81666,147545,24614,16975,5280,41514,4292,37185,56638626.99503035,73280498.48772609,16641871.492695741,58709.12508999998,0.0,13992779.977524402,16725591.00000001,100,1059,13,14,0
10.0,337,15,1,1,15,50,0.3,90.12,98.7,78399,148290,24644,17045,35279,40514,4258,37173,56793175.22775535,73280498.48772609,16487323.25997074,87379.83309999999,0.0,13992779.977524402,16725591.00000001,100,1059,20,8,0
10.0,338,15,1,1,15,50,0.3,90.12,98.7,77455,146683,24752,17072,34293,39554,4218,37151,56940114.92701035,73280498.48772609,16340383.560715742,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,16,7,0
10.0,339,15,1,1,15,50,0.3,90.12,98.7,76637,144982,24970,17085,28412,43453,4175,37131,57080119.19983035,73280498.48772609,16200379.28789574,42702.82625,0.0,13992779.977524402,16725591.00000001,100,1059,11,9,0
10.0,340,15,1,1,15,50,0.3,90.12,98.7,75752,143483,24973,17130,27610,42375,4133,37115,57184546.99153535,73280498.48772609,16095951.496190742,44867.925549999985,0.0,13992779.977524402,16725591.00000001,100,1059,20,10,0
10.0,341,15,1,1,15,50,0.3,90.12,98.7,86322,142147,24965,17147,26777,41324,4087,37096,57331486.69079035,73280498.48772609,15949011.796935745,49638.252684999985,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,342,15,1,1,15,50,0.3,90.12,98.7,96469,140835,24814,17211,26017,40344,4051,37077,57500845.526155345,73280498.48772609,15779652.961570747,59476.86198999999,0.0,13992779.977524402,16725591.00000001,100,1059,13,14,0
10.0,343,15,1,1,15,50,0.3,90.12,98.7,106550,139488,24778,17234,25281,39449,4009,37056,57624075.763235345,73280498.48772609,15656422.724490747,58709.12508999999,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,344,15,1,1,15,50,0.3,90.12,98.7,105344,138184,24716,17250,24526,38532,3971,37035,57805247.38850535,73280498.48772609,15475251.099220745,80444.406665,0.0,13992779.977524402,16725591.00000001,100,1059,16,8,0
10.0,345,15,1,1,15,50,0.3,90.12,98.7,103262,137655,24729,17256,23818,37701,3921,37018,57939606.560955346,73280498.48772609,15340891.926770747,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,11,7,0
10.0,346,15,1,1,15,50,0.3,90.12,98.7,96152,142144,24744,17266,23170,36395,4318,37008,58044611.17086034,73280498.48772609,15235887.31686575,45444.743749999994,0.0,13992779.977524402,16725591.00000001,100,1059,20,9,0
10.0,347,15,1,1,15,50,0.3,90.12,98.7,90016,145809,24749,17277,22513,35257,4566,37003,58183163.852245346,73280498.48772609,15097334.635480747,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,10,0
10.0,348,15,1,1,15,50,0.3,90.12,98.7,82992,150361,24747,17293,21855,34170,4739,36993,58338490.569370344,73280498.48772609,14942007.918355748,45444.74374999999,0.0,13992779.977524402,16725591.00000001,100,1059,13,14,0
