seed,cycle,investor_percent_earning_share,investor_count,investment_rotation_years,nursery_count,police_count,member_count,exotic_price_per_bdft,native_price_per_bdft,Seedling,Sapling,Pole,Adult,Native,Seedling,Sapling,Pole,Adult,Exotic,Total,management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,average m_partners_earning,m_independent_earning,average m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total net investor profit,average net investor profit,total_investments,inv_harvested_trees,with_investment,equally_profitable
10,141,0.3,30,10,1,1,30,90.12,98.7,76490,62100,33509,10667,182766,5374,39560,6329,36927,88190,270956,27284871.1,16231091.49,-11053779.61,13532822.27,3943.130031,0,0,2220,3432,0,1228319.244,3417388.8,-2189069.556,-72968.98518,30,442,TRUE,0
10,139,0.3,30,10,1,1,15,45.06,49.35,78479,62272,33407,10626,184784,5709,40908,7095,36002,89714,274498,20436414.17,8743884.519,-11692529.65,6912866.93,4035.532359,0,0,2183,1713,0,1961435.16,3417388.8,-1455953.64,-48531.78801,30,489,TRUE,0
10,139,0.3,30,10,1,1,15,90.12,98.7,78968,62041,33288,10661,184958,5648,41198,7123,36183,90152,275110,20498535.42,14093595.3,-6404940.116,6927404.428,4044.018931,0,0,2184,1713,0,3942768.945,3417388.8,525380.1445,17512.67148,30,485,TRUE,0
10,214,0.3,50,15,3,3,30,45.06,49.35,82708,104926,26208,13051,226893,5236,44035,3213,38104,90588,317481,47775704.88,30510291.27,-17265413.61,21556336.06,4741.824914,0,0,3359,4546,0,8520166.122,8362795.5,157370.6218,3147.412436,50,559,TRUE,0
10,217,0.3,50,15,3,3,30,90.12,98.7,68639,112946,26264,13024,220873,36019,40786,3338,38193,118336,339209,47130654.81,48992849.11,1862194.297,21146013.44,4583.011149,0,0,3406,4614,0,13566917.01,8362795.5,5204121.512,104082.4302,50,591,TRUE,1
10,218,0.3,50,15,3,3,15,45.06,49.35,67439,109826,25376,13068,215709,34663,39103,3086,37888,114740,330449,38069350.72,29052788.61,-9016562.111,11387424.54,4802.793985,0,0,3465,2371,0,9433456.079,8362795.5,1070660.579,21413.21158,50,646,TRUE,0
10,219,0.3,50,15,3,3,15,90.12,98.7,66785,108647,25266,13042,213740,29318,43188,3068,38278,113852,327592,36839042.58,44361847.41,7522804.831,10567362.49,4455.043208,0,0,3474,2372,0,13751101.74,8362795.5,5388306.238,107766.1248,50,714,TRUE,1
10,227,0.3,50,15,3,1,30,45.06,49.35,77744,112457,25082,13155,228438,23122,35720,3778,38006,100626,329064,50594843.73,30998854.49,-19595989.24,23496909.37,4862.770979,0,0,3618,4832,0,9072905.59,8362795.5,710110.0901,14202.2018,50,543,TRUE,0
10,221,0.3,50,15,3,1,30,90.12,98.7,75199,108158,25600,13110,222067,27653,41906,3192,38231,110982,333049,48494183.12,47538622.28,-955560.836,22438439.55,4794.538365,0,0,3496,4680,0,13116528.97,8362795.5,4753733.471,95074.66942,50,626,TRUE,0
10,218,0.3,50,15,3,1,15,45.06,49.35,67236,109326,25227,13075,214864,34992,39313,3152,38376,115833,330697,36933249.66,25350914.75,-11582334.91,10796713.83,4567.137831,0,0,3489,2364,0,7493332.782,8362795.5,-869462.718,-17389.25436,50,775,TRUE,0
10,216,0.3,50,15,3,1,15,90.12,98.7,71096,108959,25510,13018,218583,4890,41668,3202,38212,87972,306555,36900485.23,44207682.97,7307197.735,10308108.67,4403.292896,0,0,3450,2341,0,18720599.07,8362795.5,10357803.57,207156.0715,50,767,TRUE,1
10,214,0.3,50,15,1,3,30,45.06,49.35,82139,104046,26262,12967,225414,5306,44592,3303,38553,91754,317168,46617398.07,28954153.61,-17663244.45,23053149.77,5145.79236,0,0,3348,4480,0,8500052.552,8362795.5,137257.0515,2745.141031,50,612,TRUE,0
10,219,0.3,50,15,1,3,30,90.12,98.7,66747,109939,25970,13016,215672,29392,43637,3369,38338,114736,330408,48310465.66,50856527.42,2546061.766,22756492.82,4945.988441,0,0,3444,4601,0,17041571.69,8362795.5,8678776.193,173575.5239,50,551,TRUE,1
10,218,0.3,50,15,1,3,15,45.06,49.35,67249,109430,25140,13089,214908,34884,39664,3159,38197,115904,330812,38513652.44,28766987.7,-9746664.736,12683548.67,5493.091671,0,0,3480,2309,0,10809443.97,8362795.5,2446648.475,48932.96949,50,673,TRUE,0
10,219,0.3,50,15,1,3,15,90.12,98.7,66437,108611,25505,12985,213538,29269,42779,3077,38040,113165,326703,35279297.5,38865913.02,3586615.52,10543696.54,4618.351527,0,0,3483,2283,0,12108055.61,8362795.5,3745260.113,74905.20226,50,803,TRUE,1
10,219,0.3,50,15,1,1,30,45.06,49.35,66922,110482,26058,13008,216470,29417,43485,3424,38193,114519,330989,49047165.88,29934983.07,-19112182.8,22046951.58,4805.351259,0,0,3460,4588,0,7974301.951,8362795.5,-388493.5491,-7769.870981,50,538,TRUE,0
