seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,50,15,1,1,15,50,0.3,90.12,98.7,39578,12713,45629,9050,27007,12857,22421,30039,8753375.292705659,23659152.62390177,14905777.33119611,84637.91560000001,0.0,0.0,8362795.500000005,50,297,20,5,0
10.0,51,15,1,1,15,50,0.3,90.12,98.7,39131,12559,45467,9055,24396,14332,22281,30031,8870960.429415658,23659152.62390177,14788192.194486111,24477.199074999997,0.0,0.0,8362795.500000005,50,297,20,4,0
10.0,52,15,1,1,15,50,0.3,90.12,98.7,38727,12439,45282,9090,23689,13973,21986,30184,8979581.730055658,23659152.62390177,14679570.893846111,15513.363005,0.0,0.0,8362795.500000005,50,297,19,14,0
10.0,53,15,1,1,15,50,0.3,90.12,98.7,46420,12310,45130,9093,23006,13629,21862,30157,9130714.938245658,23659152.62390177,14528437.685656112,62218.77948999998,0.0,0.0,8362795.500000005,50,297,20,15,0
10.0,54,15,1,1,15,50,0.3,90.12,98.7,53398,12190,44965,9106,22320,13271,21772,30125,9321041.318285657,23659152.62390177,14338111.305616112,72057.38879499999,0.0,0.0,8362795.500000005,50,297,10,12,0
10.0,55,15,1,1,15,50,0.3,90.12,98.7,59000,12071,44789,9121,21632,12916,21630,30093,9444271.555365657,23659152.62390177,14214881.068536112,51089.84411999999,0.0,0.0,8362795.500000005,50,297,11,12,0
10.0,56,15,1,1,15,50,0.3,90.12,98.7,58329,11946,44588,9166,21025,12601,21506,30069,9557086.364940658,23659152.62390177,14102066.258961111,50322.10721999998,0.0,0.0,8362795.500000005,50,297,20,14,0
10.0,57,15,1,1,15,50,0.3,90.12,98.7,57600,11902,44434,9171,20424,12265,21400,30035,9742451.499145659,23659152.62390177,13916701.12475611,86803.01490000001,0.0,0.0,8362795.500000005,50,297,20,5,0
10.0,58,15,1,1,15,50,0.3,90.12,98.7,55747,12976,44262,9194,19849,11940,21278,30001,9868423.65372566,23659152.62390177,13790728.97017611,24477.199074999997,0.0,0.0,8362795.500000005,50,297,19,4,0
10.0,59,15,1,1,15,50,0.3,90.12,98.7,51992,15957,44103,9220,19308,11637,21164,29978,9977621.77256566,23659152.62390177,13681530.85133611,16090.181204999999,0.0,0.0,8362795.500000005,50,297,20,14,0
10.0,60,15,1,1,15,50,0.3,90.12,98.7,47336,19855,43881,9284,18752,11359,21069,29952,10149722.525430659,23659152.62390177,13509430.09847111,58025.27055499998,0.0,0.0,8362795.500000005,50,297,10,15,0
10.0,61,15,1,1,15,50,0.3,90.12,98.7,45211,21204,43712,9296,22514,11116,20965,29922,10288264.45931566,23659152.62390177,13370888.16458611,67863.87985999999,0.0,0.0,8362795.500000005,50,297,11,12,0
10.0,62,15,1,1,15,50,0.3,90.12,98.7,44684,21005,43554,9307,21930,10844,20855,29891,10386333.642785659,23659152.62390177,13272818.98111611,46896.33518499999,0.0,0.0,8362795.500000005,50,297,20,12,0
10.0,63,15,1,1,15,50,0.3,90.12,98.7,44185,20780,43395,9333,4052,27824,19802,30825,10522144.40667066,23659152.62390177,13137008.21723111,46128.598284999985,0.0,0.0,8362795.500000005,50,297,20,14,0
10.0,64,15,1,1,15,50,0.3,90.12,98.7,43692,20571,43190,9388,3941,27072,19282,31228,10690735.50513566,23659152.62390177,12968417.11876611,80444.406665,0.0,0.0,8362795.500000005,50,297,19,5,0
10.0,65,15,1,1,15,50,0.3,90.12,98.7,48245,20374,43028,9430,3848,26346,18053,32322,10799933.623975659,23659152.62390177,12859218.99992611,24477.199074999997,0.0,0.0,8362795.500000005,50,297,20,4,0
10.0,66,15,1,1,15,50,0.3,90.12,98.7,56097,20162,42875,9429,3738,25688,17815,32429,10927357.369990658,23659152.62390177,12731795.253911112,13348.263705,0.0,0.0,8362795.500000005,50,297,10,14,0
10.0,67,15,1,1,15,50,0.3,90.12,98.7,63297,19957,42711,9451,3657,25023,17734,32390,11050587.607070658,23659152.62390177,12608565.016831111,55283.353054999985,0.0,0.0,8362795.500000005,50,297,11,15,0
10.0,68,15,1,1,15,50,0.3,90.12,98.7,62600,19778,42548,9490,3553,24408,17633,32364,11180176.452385658,23659152.62390177,12478976.171516111,74222.488095,0.0,0.0,8362795.500000005,50,297,20,12,0
10.0,69,15,1,1,15,50,0.3,90.12,98.7,61505,20015,42362,9522,3466,23777,17540,32330,11331309.660575658,23659152.62390177,12327842.963326111,53831.76161999998,0.0,0.0,8362795.500000005,50,297,20,12,0
10.0,70,15,1,1,15,50,0.3,90.12,98.7,57979,22685,42203,9539,3386,23172,17445,32300,11482442.868765658,23659152.62390177,12176709.755136112,50322.10721999998,0.0,0.0,8362795.500000005,50,297,19,14,0
10.0,71,15,1,1,15,50,0.3,90.12,98.7,55430,24379,42060,9553,3304,22610,17348,32273,11659420.985100659,23659152.62390177,11999731.63880111,91573.342035,0.0,0.0,8362795.500000005,50,297,20,5,0
10.0,72,15,1,1,15,50,0.3,90.12,98.7,51471,27412,41898,9586,3213,22060,17258,32246,11806360.68435566,23659152.62390177,11852791.93954611,28670.70801,0.0,0.0,8362795.500000005,50,297,10,4,0
10.0,73,15,1,1,15,50,0.3,90.12,98.7,49086,28865,41714,9650,28819,21509,17154,32211,11898774.01995566,23659152.62390177,11760378.60394611,17541.77264,0.0,0.0,8362795.500000005,50,297,11,14,0
10.0,74,15,1,1,15,50,0.3,90.12,98.7,48511,28551,41579,9659,27999,21001,17068,32188,12017810.748100659,23659152.62390177,11641341.87580111,59476.86198999999,0.0,0.0,8362795.500000005,50,297,20,15,0
10.0,75,15,1,1,15,50,0.3,90.12,98.7,47924,28266,41432,9670,24189,23471,16971,32161,12187169.583465658,23659152.62390177,11471983.040436111,67863.87985999999,0.0,0.0,8362795.500000005,50,297,20,12,0
10.0,76,15,1,1,15,50,0.3,90.12,98.7,47379,27982,41278,9691,23502,22946,15887,33131,12337725.973455658,23659152.62390177,11321426.650446111,49061.43448499998,0.0,0.0,8362795.500000005,50,297,19,12,0
10.0,77,15,1,1,15,50,0.3,90.12,98.7,53618,27728,41081,9758,22862,22361,14952,33956,12480472.163775658,23659152.62390177,11178680.460126111,46128.598284999985,0.0,0.0,8362795.500000005,50,297,20,14,0
10.0,78,15,1,1,15,50,0.3,90.12,98.7,58735,27449,40950,9762,22251,21772,14342,34444,12682611.333720658,23659152.62390177,10976541.290181112,87379.8331,0.0,0.0,8362795.500000005,50,297,10,5,0
10.0,79,15,1,1,15,50,0.3,90.12,98.7,66784,27182,40829,9771,21601,21251,14139,34536,12783422.434690658,23659152.62390177,10875730.189211112,28670.70801,0.0,0.0,8362795.500000005,50,297,11,4,0
10.0,80,15,1,1,15,50,0.3,90.12,98.7,65993,26912,40699,9790,20981,20738,14026,34543,12858495.663850658,23659152.62390177,10800656.960051112,19706.871939999997,0.0,0.0,8362795.500000005,50,297,20,14,0
10.0,81,15,1,1,15,50,0.3,90.12,98.7,64666,27212,40539,9829,20367,20269,13871,34579,13013822.380975658,23659152.62390177,10645330.242926111,62218.779489999986,0.0,0.0,8362795.500000005,50,297,20,15,0
10.0,82,15,1,1,15,50,0.3,90.12,98.7,59891,30967,40399,9865,19806,19816,13753,34589,13177536.115970658,23659152.62390177,10481616.507931111,70605.79736,0.0,0.0,8362795.500000005,50,297,19,12,0
10.0,83,15,1,1,15,50,0.3,90.12,98.7,56587,33272,40240,9882,19235,19376,13687,34553,13311895.288420659,23659152.62390177,10347257.335481111,49638.252684999985,0.0,0.0,8362795.500000005,50,297,20,12,0
10.0,84,15,1,1,15,50,0.3,90.12,98.7,53409,35456,40070,9931,18707,18941,13593,34526,13471415.514480658,23659152.62390177,10187737.109421112,46128.598284999985,0.0,0.0,8362795.500000005,50,297,10,14,0
