PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot372,32.1984,74.656
plot373,40.8634,76.062
plot374,40.2721,75.6054
plot375,40.882,75.9833
plot376,29.4358,74.9986
plot377,50.8942,76.7091
plot378,43.863,76.152
plot379,47.5693,76.6407
plot380,41.6249,76.0853
plot381,36.7343,75.3936
plot382,38.3515,75.4261
plot383,49.0006,76.9372
plot384,42.8955,76.8479
plot385,43.8775,76.4422
plot386,48.9183,76.8903
plot387,36.6499,75.5554
plot388,42.4211,76.2139
plot389,44.2217,76.759
plot390,36.1674,75.227
plot391,50.3389,77.258
plot392,38.8207,75.7514
plot393,43.253,76.1563
plot394,42.5004,75.6602
plot395,44.8678,76.7707
plot396,48.3952,76.8685
plot397,46.1208,76.4166
plot398,34.9554,75.1107
plot399,54.0879,77.523
plot400,43.3878,76.5517
plot401,52.8171,77.5252
plot402,32.8847,75.3758
plot403,58.0988,77.903
plot404,39.8213,76.5878
plot405,43.9084,76.4227
plot406,42.4395,76.3382
plot407,37.4674,75.4829
plot408,42.6256,76.4649
plot409,41.9226,76.276
plot410,47.5278,76.6798
plot411,50.7914,77.2564
plot412,42.6143,76.4925
plot413,46.8645,76.7898
plot414,37.7389,75.6854
plot415,45.2053,76.7745
plot416,34.2925,75.518
plot417,28.6495,78.7768
plot418,41.6447,75.8451
plot419,39.8164,75.5501
plot420,38.3356,75.105
plot421,35.1925,75.2201
plot422,47.0601,76.7418
plot423,48.3803,76.8313
plot424,49.9126,76.9871
plot425,42.8681,76.5768
plot426,42.0279,75.8741
plot427,51.4227,76.9355
plot428,41.3084,75.8536
plot429,51.3571,77.5565
plot430,37.6532,75.6473
plot431,46.2641,76.3824
plot432,31.9653,74.9255
plot433,42.234,75.813
plot434,34.457,75.0979
plot435,36.2501,75.6829
plot436,38.7709,75.0468
plot437,44.7537,76.816
plot438,37.7627,76.2418
plot439,46.445,76.5229
plot440,44.5297,76.1429
plot441,43.4303,76.3139
plot442,41.2209,76.3205
plot443,49.6268,77.0704
plot444,45.9389,76.6047
plot445,43.0802,75.819
plot446,41.7306,75.9367
plot447,48.7292,76.8628
plot448,39.7612,76.3485
plot449,43.8717,77.3804
plot450,14.3672,71.14
plot451,45.6756,79.3036
plot452,40.3312,75.9278
plot453,43.1648,76.3236
plot454,45.2898,76.3723
plot455,50.5436,77.5343
plot456,36.0906,75.564
plot457,37.0494,75.8398
plot458,51.3523,77.0173
plot459,39.5005,75.9946
plot460,51.8152,77.4186
plot461,44.9711,76.4379
plot462,51.2166,77.4412
plot463,43.7779,77.0602
plot464,41.1619,75.9263
plot465,52.9489,77.3268
plot466,44.1103,76.2938
plot467,43.7745,76.0995
plot468,45.8476,76.823
plot469,40.4627,76.171
plot470,41.4424,76.3344
plot471,47.1221,76.5729
plot472,39.5439,75.6243
plot473,37.7143,75.6231
plot474,39.0999,75.6622
plot475,40.8691,75.7085
plot476,39.1455,75.7573
plot477,43.5398,76.5061
plot478,45.6459,76.0709
plot479,41.5032,76.0974
plot480,48.0592,76.8461
plot481,31.3707,74.5362
plot482,41.7051,77.192
plot483,36.8793,75.1366
plot484,44.8656,76.1191
plot485,42.0245,76.1632
plot486,51.7002,77.2842
plot487,38.959,75.9019
plot488,47.8785,76.671
plot489,38.2485,75.6558
plot490,39.5747,75.972
plot491,46.3822,76.5041
plot492,50.6012,77.3719
plot493,43.1722,76.3972
plot494,48.3269,76.697
plot495,37.7556,75.6613
plot496,49.0782,77.0698
plot497,44.4225,76.1241
plot498,39.721,75.4031
plot499,54.59,77.78
plot500,31.0117,74.854
plot501,41.2801,75.968
plot502,38.5876,75.7518
plot503,45.8787,76.1735
plot504,36.5832,75.8965
plot505,45.4325,76.7771
plot506,39.6004,75.4334
plot507,50.5702,77.0615
plot508,38.852,75.2724
plot509,48.9814,77.0151
plot510,45.1249,76.0169
plot511,40.4638,76.1942
plot512,29.2827,75.7574
plot513,26.3908,76.4653
plot514,47.1099,76.3922
plot515,43.6384,76.3563
plot516,36.8686,75.0047
plot517,45.1596,76.7431
plot518,41.7899,76.0257
plot519,42.6629,76.3667
plot520,40.6739,76.0617
plot521,43.2535,75.543
plot522,49.7237,77.2017
plot523,49.0725,77.029
plot524,44.8483,76.2272
plot525,36.2645,74.9848
plot526,34.3397,74.5346
plot527,50.9254,77.4772
plot528,38.6695,75.5992
plot529,35.9185,75.1014
plot530,48.3463,76.8665
plot531,35.8922,74.7226
plot532,43.4193,76.2849
plot533,39.1559,75.4753
plot534,43.8743,76.513
plot535,43.051,75.9755
plot536,48.9289,77.1601
plot537,41.3397,75.9724
plot538,46.1399,76.7055
plot539,47.0583,77.0397
plot540,52.5443,77.4839
plot541,46.9785,76.0558
plot542,44.99,76.5327
plot543,38.8976,76.4899
plot544,38.9677,76.9062
plot545,41.0357,75.9908
plot546,35.3548,75.4508
plot547,35.5391,75.2957
plot548,36.5048,75.0325
plot549,40.6243,76.5715
plot550,45.4667,76.4377
plot551,39.398,75.8825
plot552,44.9239,76.774
plot553,46.9159,75.949
plot554,33.2176,75.0737
plot555,41.3057,75.8428
plot556,44.4156,76.611
plot557,38.8164,75.8368
plot558,38.4568,75.7964
plot559,45.5798,76.6718
plot560,44.9209,76.6445
plot561,41.2913,76.0956
plot562,44.8808,76.6028
plot563,38.3055,75.9346
plot564,49.0789,76.5298
plot565,42.3005,76.1103
plot566,40.9214,75.7546
plot567,44.9702,76.0702
plot568,45.5995,76.6525
plot569,39.2906,75.8536
plot570,54.7982,77.5682
plot571,37.7506,75.5
plot572,41.0111,75.9705
plot573,41.5731,76.33
plot574,47.4608,76.6186
plot575,33.2589,75.393
plot576,29.9937,77.7969
plot577,44.1187,75.8193
plot578,39.9686,76.0337
plot579,43.9875,76.0395
plot580,41.502,76.2246
plot581,41.3076,75.8201
plot582,55.1934,77.6152
plot583,43.9425,76.0511
plot584,44.1005,76.2953
plot585,46.8017,77.1084
plot586,38.7391,75.8304
plot587,41.4819,76.3517
plot588,39.7021,75.8724
plot589,51.4223,77.3494
plot590,42.9217,76.4778
plot591,47.3143,76.7447
plot592,42.2251,76.3267
plot593,46.4571,76.691
plot594,42.0266,76.0338
plot595,38.7533,75.8107
plot596,42.7035,75.7248
plot597,40.8716,75.7653
plot598,42.3997,76.4243
plot599,47.4145,76.7392
plot600,42.9112,76.321
plot601,40.8104,76.1968
plot602,42.1876,76.1126
plot603,41.6759,75.8642
plot604,40.4141,76.7943
plot605,47.672,76.7954
plot606,36.6002,75.2457
plot607,40.1456,75.6437
plot608,37.5464,75.0562
plot609,48.0216,76.9988
plot610,50.3329,77.1746
plot611,38.2601,76.0487
plot612,44.8986,76.4282
plot613,36.6483,75.4415
plot614,44.0039,76.4276
plot615,43.9829,75.678
plot616,37.0384,75.299
plot617,39.0273,75.2434
plot618,47.0359,76.9879
plot619,49.0572,77.021
plot620,36.6006,75.4479
plot621,38.0048,74.9762
plot622,42.8793,76.0313
plot623,42.0573,76.3774
plot624,37.8962,75.7282
plot625,48.2399,77.0656
plot626,43.6956,75.9041
plot627,38.8359,75.1907
plot628,37.9536,76.2762
plot629,47.1161,76.7524
plot630,38.7843,75.8024
plot631,45.9814,76.7508
plot632,33.2025,75.3561
plot633,13.5667,70.6509
plot634,36.6945,75.5187
plot635,44.9966,76.6468
plot636,52.2123,77.4475
plot637,53.3156,77.5339
plot638,42.0856,76.4384
plot639,47.9535,76.5534
plot640,44.4452,76.2833
plot641,56.9619,77.7528
plot642,36.2886,75.6518
plot643,45.9489,76.116
plot644,44.4937,76.7522
plot645,42.6428,76.1431
plot646,39.6117,76.2384
plot647,38.5529,75.9643
plot648,41.8214,75.9119
plot649,42.4682,76.4284
plot650,32.5534,74.6461
plot651,39.3841,75.7219
plot652,40.6194,75.9274
plot653,46.2691,76.7195
plot654,45.1745,76.669
plot655,47.3313,76.4849
plot656,44.6866,76.9688
plot657,53.8804,77.3624
plot658,52.6748,77.4923
plot659,44.8352,76.7133
plot660,55.6195,77.6768
plot661,38.2971,75.9964
plot662,37.8534,76.0255
plot663,43.597,77.1002
plot664,54.451,77.488
plot665,49.703,77.0642
plot666,49.7937,76.9661
plot667,35.9509,74.9703
plot668,41.5345,76.1947
plot669,46.9503,76.6236
plot670,46.006,75.9915
plot671,52.59,77.3422
plot672,39.1232,75.4595
plot673,42.7189,76.9776
plot674,33.7436,75.7925
plot675,44.7302,77.0188
plot676,45.233,76.877
plot677,39.634,75.7837
plot678,40.4942,76.2246
plot679,44.908,77.0004
plot680,54.0041,77.5445
plot681,30.3609,75.0098
plot682,45.3289,76.8027
plot683,45.8503,76.877
plot684,40.6244,76.4112
plot685,44.1951,77.1721
plot686,39.0513,75.758
plot687,46.6867,76.998
plot688,46.7605,76.7303
plot689,40.6404,76.1639
plot690,45.6112,76.349
plot691,47.4549,76.9953
plot692,44.658,76.9831
plot693,45.2602,76.6583
plot694,41.2685,76.1785
plot695,29.6239,75.6347
plot696,43.9559,76.2803
plot697,40.7676,76.0182
plot698,44.1445,76.4868
plot699,47.6937,76.4641
plot700,35.9532,75.1685
plot701,54.3293,77.8335
plot702,47.6256,76.8123
plot703,41.6205,75.8903
plot704,48.7473,77.2337
plot705,39.1084,76.3569
plot706,41.5275,76.1815
plot707,46.0904,76.7707
plot708,46.1462,76.7241
plot709,46.551,77.0198
plot710,38.8401,76.3546
plot711,40.6307,76.299
plot712,44.9249,76.3289
plot713,51.8425,77.4332
