PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot469,91.0972,43.6691
plot470,75.4293,44.6859
plot471,80.3872,50.7532
plot472,73.1141,41.9848
plot473,71.6533,40.3239
plot474,72.985,41.8367
plot475,74.2754,43.3291
plot476,73.1486,42.0245
plot477,77.206,46.8158
plot478,78.9731,48.9833
plot479,75.0056,44.1852
plot480,81.2957,51.9069
plot481,65.2625,33.4517
plot482,116.2671,45.6533
plot483,71.963,39.453
plot484,78.318,48.174
plot485,75.5062,44.777
plot486,84.1311,55.5908
plot487,73.2635,42.1565
plot488,80.8296,51.3134
plot489,71.8815,40.5811
plot490,73.2147,42.1005
plot491,79.7895,50.0013
plot492,83.9807,55.3923
plot493,76.9427,46.497
plot494,81.4439,52.0963
plot495,71.6918,40.3672
plot496,82.2625,53.1489
plot497,77.9599,47.7345
plot498,73.3068,42.2064
plot499,87.0988,59.5818
plot500,77.133,33.1764
plot501,77.1665,43.9618
plot502,72.4923,41.2738
plot503,78.1866,48.0126
plot504,71.0607,39.6597
plot505,79.0899,49.1283
plot506,73.1453,42.0207
plot507,83.8268,54.6375
plot508,72.7207,41.5342
plot509,82.1127,52.9555
plot510,78.6012,48.523
plot511,74.4141,43.4911
plot512,91.525,31.5799
plot513,306.16,29.4474
plot514,82.4389,50.7081
plot515,77.2745,46.8989
plot516,70.8877,39.4668
plot517,78.9054,48.8994
plot518,75.5766,44.8606
plot519,76.4967,45.9595
plot520,74.5594,43.6611
plot521,76.5401,46.0117
plot522,82.7987,53.844
plot523,82.24,53.1198
plot524,78.3963,48.2704
plot525,69.9836,38.4665
plot526,68.0064,36.3236
plot527,84.2122,55.698
plot528,72.2804,41.0328
plot529,69.9,38.3747
plot530,81.591,52.2847
plot531,71.8731,38.1374
plot532,89.3663,47.0435
plot533,72.7838,41.6064
plot534,77.5574,47.2429
plot535,76.6684,46.166
plot536,82.2066,53.0767
plot537,75.4861,44.7532
plot538,79.7144,49.9072
plot539,80.5724,50.9874
plot540,84.9586,56.6898
plot541,80.1134,50.408
plot542,78.5565,48.4679
plot543,75.4152,41.989
plot544,122.5327,42.4518
plot545,82.905,43.7257
plot546,69.5046,37.9417
plot547,69.6241,38.0723
plot548,70.8074,39.3775
plot549,74.7395,43.8722
plot550,79.3093,49.4012
plot551,73.6296,42.5789
plot552,78.5603,48.4726
plot553,80.1785,50.4901
plot554,67.1469,35.4113
plot555,75.0106,44.1912
plot556,78.0022,47.7863
plot557,72.8685,41.7032
plot558,72.4294,41.2021
plot559,78.92,48.9175
plot560,78.4626,48.352
plot561,75.1004,44.297
plot562,78.5117,48.4126
plot563,82.6164,41.2775
plot564,87.7585,53.2293
plot565,76.0381,45.4102
plot566,74.7727,43.9112
plot567,78.3257,48.1835
plot568,79.2206,49.2908
plot569,73.1968,42.0798
plot570,87.0612,59.5304
plot571,71.9243,40.6295
plot572,74.5602,43.662
plot573,75.5282,44.8031
plot574,80.6278,51.0575
plot575,96.665,35.9604
plot576,250.4847,34.4945
plot577,78.6926,47.1769
plot578,74.1478,43.1804
plot579,77.5111,47.1865
plot580,76.1555,45.0949
plot581,75.4461,44.7058
plot582,87.4621,60.0799
plot583,77.5039,47.1777
plot584,77.7071,47.4254
plot585,80.3435,50.6981
plot586,72.715,41.5277
plot587,75.407,44.6594
plot588,73.5795,42.521
plot589,84.258,55.7587
plot590,76.6167,46.1037
plot591,89.0131,51.6507
plot592,90.1696,45.9773
plot593,79.8695,50.1017
plot594,75.9495,45.3043
plot595,72.698,41.5082
plot596,76.6811,46.1813
plot597,74.7287,43.8596
plot598,76.2476,45.6607
plot599,80.4393,50.819
plot600,76.7328,46.2437
plot601,74.6579,43.7766
plot602,75.9158,45.2642
plot603,75.391,44.6405
plot604,118.0887,43.8093
plot605,82.681,51.5433
plot606,70.4966,39.0325
plot607,74.003,43.0119
plot608,71.5428,40.1996
plot609,81.6023,52.2991
plot610,83.3574,54.573
plot611,72.3803,41.1463
plot612,78.8817,48.3813
plot613,70.9491,39.5351
plot614,77.5977,47.292
plot615,77.7297,47.453
plot616,70.8396,39.4132
plot617,72.6323,41.4333
plot618,80.4609,50.8463
plot619,82.4634,53.4087
plot620,70.6389,39.1903
plot621,86.6264,40.6668
plot622,76.3109,45.7365
plot623,75.9818,45.3429
plot624,71.8962,40.5978
plot625,81.9552,52.225
plot626,77.296,46.925
plot627,72.7401,41.5563
plot628,72.1352,40.8681
plot629,80.5111,50.9097
plot630,72.7456,41.5626
plot631,79.4516,49.5787
plot632,94.9633,36.122
plot633,193.1661,14.6528
plot634,71.1173,39.3256
plot635,78.6392,48.57
plot636,84.9734,56.7095
plot637,85.5978,57.5459
plot638,75.8999,45.2452
plot639,80.8888,51.3886
plot640,78.0483,47.8428
plot641,88.8492,62.0007
plot642,70.3215,38.8388
plot643,79.3211,48.9218
plot644,78.3118,48.1665
plot645,76.3691,45.8063
plot646,73.3792,42.2898
plot647,72.5261,41.3122
plot648,75.9001,45.2454
plot649,76.329,45.7582
plot650,88.7407,34.6356
plot651,76.9518,42.3223
plot652,74.2606,43.3118
plot653,80.072,49.8524
plot654,78.6868,48.6288
plot655,80.2969,50.6392
plot656,78.4875,48.3827
plot657,86.321,58.5224
plot658,85.6155,57.5698
plot659,78.5083,48.4085
plot660,87.742,60.4652
plot661,72.643,41.4455
plot662,75.3671,40.597
plot663,128.7532,48.1735
plot664,93.7252,59.3337
plot665,82.857,53.9198
plot666,82.8455,53.9048
plot667,69.8724,38.3443
plot668,75.4339,44.6914
plot669,80.2773,50.6146
plot670,79.3225,49.4177
plot671,85.3255,57.1805
plot672,72.7331,41.5484
plot673,76.3933,45.8354
plot674,68.0534,36.3738
plot675,78.546,48.4549
plot676,78.5268,48.4312
plot677,73.569,42.5088
plot678,74.6924,43.817
plot679,78.6893,48.6319
plot680,86.4538,58.7027
plot681,70.0791,32.4001
plot682,95.2033,49.1182
plot683,79.1432,49.1945
plot684,74.6784,43.8005
plot685,78.1132,47.9224
plot686,72.9406,41.7858
plot687,80.4972,50.8922
plot688,80.1132,50.4078
plot689,74.2151,43.2588
plot690,79.376,49.4845
plot691,80.8045,51.2815
plot692,78.4327,48.3153
plot693,78.9008,48.8937
plot694,78.3807,44.3911
plot695,109.8467,32.2213
plot696,78.0466,47.3623
plot697,74.6786,43.8008
plot698,77.9197,47.6853
plot699,80.8303,51.3143
plot700,69.9656,38.4467
plot701,87.1093,59.5963
plot702,80.9624,51.4821
plot703,75.4163,44.6704
plot704,82.1969,53.0641
plot705,73.443,42.3634
plot706,75.642,44.9383
plot707,79.5412,49.6906
plot708,79.3555,49.4588
plot709,80.0694,50.3528
plot710,73.1776,42.0577
plot711,74.7515,43.8864
plot712,78.8266,48.8018
plot713,85.8329,56.7053
plot714,88.4845,35.6658
plot715,69.441,37.4936
plot716,73.5611,42.4997
plot717,74.8089,43.9539
plot718,69.7359,37.4308
plot719,92.4663,48.3492
plot720,85.5519,40.239
plot721,83.8901,44.2182
plot722,77.2255,46.8395
plot723,83.8164,55.1757
plot724,79.52,49.6641
plot725,79.2757,48.8658
plot726,80.7365,47.0997
plot727,130.429,50.7717
plot728,76.9411,38.1259
plot729,76.1569,45.5521
plot730,70.1079,38.6033
plot731,78.2122,48.044
plot732,80.8153,51.2953
plot733,81.1102,51.6703
plot734,76.6449,46.1378
plot735,71.5288,40.1839
plot736,72.0518,40.7737
plot737,79.7595,49.4641
plot738,70.3986,38.924
plot739,80.0081,50.2757
plot740,80.8782,51.3751
plot741,85.2751,57.1129
plot742,76.7413,46.2539
plot743,78.7391,46.2588
plot744,86.9822,36.2477
plot745,85.2675,50.8214
plot746,80.6593,34.7462
plot747,88.1631,53.1108
plot748,79.1165,49.1613
plot749,78.7795,46.3063
plot750,98.4928,45.7141
plot751,83.6367,52.1924
plot752,80.0383,50.3136
plot753,86.3061,42.1216
plot754,77.9099,42.4292
plot755,77.6527,47.3591
plot756,70.9352,39.5197
plot757,71.3128,39.9416
plot758,81.3216,51.94
plot759,91.8348,28.4822
plot760,78.2888,48.1381
plot761,71.2932,39.9196
plot762,76.791,46.3138
plot763,72.5577,41.3483
plot764,77.1623,46.2951
plot765,79.548,49.6991
plot766,76.8846,46.4268
plot767,80.7108,50.6511
plot768,90.1236,63.7922
plot769,85.2303,57.053
plot770,78.0052,47.79
plot771,74.6936,43.8184
plot772,70.795,38.5764
plot773,94.9638,43.9135
plot774,80.3274,50.1709
plot775,76.8156,46.3435
plot776,75.7472,45.0633
plot777,89.8939,38.7151
plot778,80.3431,38.5302
plot779,91.3749,41.9685
plot780,75.1558,44.3624
plot781,78.3331,48.1926
plot782,77.7632,47.4939
plot783,77.8653,47.1425
plot784,80.7252,32.7558
plot785,90.6607,45.1883
plot786,88.4971,40.5968
plot787,76.1759,45.5749
plot788,89.6188,34.0629
plot789,185.4545,21.61
plot790,190.5317,51.3212
plot791,74.0308,43.0442
plot792,75.3713,44.6171
plot793,81.3222,51.9407
plot794,80.2571,50.5891
plot795,80.305,50.6495
plot796,77.5354,47.2161
plot797,68.6738,37.0401
plot798,78.7406,48.6954
plot799,73.0237,41.8811
plot800,91.629,46.8182
plot801,83.3662,52.4012
plot802,76.2512,45.6649
plot803,73.7581,42.7277
plot804,78.4037,48.2795
plot805,71.5732,39.8314
plot806,75.1275,44.329
plot807,77.4199,47.0755
plot808,80.1096,50.4033
plot809,79.1216,49.1677
plot810,77.7206,47.4419
plot811,80.9174,51.4249
plot812,79.3069,48.9043
plot813,69.5397,36.4608
plot814,80.5313,33.6173
plot815,110.715,43.3227
plot816,77.9047,46.7135
plot817,77.3942,47.0442
plot818,78.3015,48.1537
plot819,79.1479,49.2005
plot820,74.5448,43.644
plot821,69.5707,38.014
plot822,76.9735,46.5342
plot823,83.3847,49.1479
plot824,80.3261,49.1558
plot825,74.837,43.9869
plot826,84.4398,55.9995
plot827,86.1007,58.2242
plot828,70.5545,37.1418
plot829,97.1666,49.6819
plot830,73.6522,42.6051
plot831,81.3482,51.974
plot832,72.2978,41.0525
plot833,84.4911,56.0676
plot834,77.4071,47.0599
plot835,79.2349,49.3087
plot836,83.3417,54.5525
plot837,77.0792,46.6621
plot838,76.3373,45.7681
plot839,77.8637,47.6167
plot840,76.6579,46.1534
plot841,73.6901,42.649
plot842,77.8235,47.5676
plot843,105.4876,37.5804
plot844,162.5313,14.5232
plot845,75.0434,43.7875
plot846,70.5688,39.1125
plot847,72.5808,41.3746
plot848,80.0679,50.3508
plot849,71.69,40.3652
plot850,75.7842,45.1074
plot851,75.6209,44.464
plot852,92.6621,42.4849
plot853,106.8849,53.8361
plot854,69.2877,35.82
plot855,70.8051,37.7998
plot856,97.0544,52.5265
plot857,65.2882,33.4779
plot858,100.1209,53.5363
plot859,81.8183,50.4733
plot860,81.3522,51.9791
plot861,76.3614,45.797
plot862,70.9992,39.1952
plot863,71.1112,39.7161
plot864,79.312,49.4046
plot865,79.7211,49.9157
plot866,75.6653,44.9659
plot867,71.411,40.0517
plot868,71.1442,39.7529
plot869,83.6941,55.0148
plot870,75.0883,44.2827
plot871,86.7576,59.1159
plot872,77.1598,46.7597
plot873,71.3202,39.9498
plot874,136.1133,59.6589
plot875,129.3469,26.2804
plot876,77.6887,47.403
plot877,83.2851,54.4784
plot878,80.5124,50.9114
plot879,71.3694,40.0049
plot880,83.7515,53.9885
plot881,88.5816,41.9069
plot882,78.1247,43.6222
plot883,88.0106,60.2275
plot884,87.168,39.9833
plot885,88.1241,43.9149
plot886,82.7021,48.3466
plot887,91.2532,43.8189
plot888,83.0944,49.3486
plot889,87.0926,44.6801
plot890,84.5367,56.1281
plot891,73.0101,41.8655
plot892,78.0789,47.8804
plot893,75.599,44.4383
plot894,83.565,54.8452
plot895,72.8077,41.6336
plot896,82.2923,53.1874
plot897,74.7679,43.9056
plot898,77.9243,47.6909
plot899,80.5762,50.9921
plot900,72.9499,41.7965
plot901,81.0741,51.6243
plot902,82.6558,53.6583
plot903,79.3896,49.5014
plot904,102.7079,36.4544
plot905,85.496,45.3533
plot906,87.5295,39.7139
plot907,86.6206,58.9295
plot908,69.0141,37.034
plot909,95.14,44.7875
plot910,81.4394,47.4025
plot911,71.1039,39.7079
plot912,76.572,45.129
plot913,92.1429,38.676
plot914,82.3769,39.4396
plot915,74.1703,39.75
plot916,108.1764,48.7114
plot917,88.1221,42.693
plot918,72.1918,40.9323
plot919,81.2096,51.797
plot920,75.1272,44.3287
plot921,79.1597,49.2151
plot922,78.206,48.0363
plot923,70.775,39.3414
plot924,77.9209,47.6868
plot925,82.4882,53.4409
plot926,75.174,44.3839
plot927,74.5042,43.5965
plot928,71.8964,40.5979
plot929,103.725,43.095
plot930,132.4112,27.5404
plot931,234.4385,34.5333
plot932,88.1503,58.5881
plot933,81.8299,45.2285
plot934,101.9795,52.2752
plot935,89.609,40.9927
plot936,77.6901,42.1902
plot937,83.2601,54.4457
plot938,72.795,41.6191
plot939,76.8673,46.4059
plot940,70.4774,39.0113
plot941,71.1778,39.7905
plot942,75.5363,44.8127
plot943,76.0977,45.4813
plot944,74.7669,43.9044
plot945,82.4139,53.3446
plot946,78.774,48.7367
plot947,80.8287,51.3122
plot948,70.1345,38.6326
plot949,85.0185,56.7698
plot950,77.0536,46.6311
plot951,82.6619,53.6662
plot952,81.3141,51.9304
plot953,76.0175,45.3855
plot954,68.435,36.7829
plot955,128.7823,50.8004
plot956,76.4558,44.9922
plot957,67.764,36.0651
plot958,83.9273,54.2153
plot959,68.3257,35.9322
plot960,80.3781,50.7417
plot961,66.9476,35.2014
plot962,74.6345,43.7491
plot963,73.803,42.7797
plot964,75.8842,44.7742
plot965,75.1941,44.4076
plot966,82.7501,53.7807
plot967,81.7229,52.4539
plot968,75.4737,44.7385
plot969,85.9893,58.0736
plot970,76.3437,45.7758
plot971,74.1775,43.2149
plot972,82.2428,53.1234
plot973,80.0109,50.2791
plot974,76.9433,46.4978
plot975,80.3928,50.7603
plot976,68.6507,37.0152
plot977,105.5028,45.4591
plot978,78.3041,35.1546
plot979,86.4105,29.9084
plot980,155.336,39.7973
plot981,201.7448,25.5732
plot982,146.5093,33.7171
plot983,138.5754,34.6889
plot984,152.4008,40.1317
plot985,79.5894,47.2633
plot986,71.0141,39.6077
plot987,70.3155,38.8322
plot988,83.9028,55.2895
plot989,80.4645,50.8509
plot990,74.6616,43.7808
plot991,85.3715,56.6697
plot992,69.9129,38.3888
plot993,78.7506,48.7077
plot994,78.7523,48.7098
plot995,78.4649,48.355
plot996,68.3699,36.713
plot997,68.6553,37.0201
plot998,82.0681,52.8979
plot999,77.3539,46.9952
plot1000,75.3917,44.6413
plot1001,76.093,45.4757
plot1002,79.6012,49.7656
plot1003,80.8705,51.3653
plot1004,75.2146,44.4319
