cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
287,EXOTIC,4963,41992,3064,36783
288,EXOTIC,4797,40957,3070,36768
289,EXOTIC,35181,39986,3044,36742
290,EXOTIC,34173,39057,3008,36726
291,EXOTIC,28820,42541,2971,36698
292,EXOTIC,27962,41494,2936,36673
293,EXOTIC,27172,40508,2907,36651
294,EXOTIC,26383,39536,2871,36636
295,EXOTIC,25628,38577,2839,36626
296,EXOTIC,24897,37710,2807,36608
297,EXOTIC,24186,36813,2777,36591
298,EXOTIC,23482,35455,3173,36573
299,EXOTIC,22771,34386,3414,36555
300,EXOTIC,22089,33351,3602,36534
301,EXOTIC,28053,32568,3598,36517
302,EXOTIC,27270,31766,3554,36499
303,EXOTIC,6210,51312,3519,36483
304,EXOTIC,6007,50066,3473,36467
305,EXOTIC,5830,48831,3436,36440
306,EXOTIC,5663,47615,3394,36421
307,EXOTIC,5508,46435,3352,36405
308,EXOTIC,5345,45344,3322,36392
309,EXOTIC,5203,44214,3281,36372
310,EXOTIC,5065,43018,3345,36348
311,EXOTIC,4937,41895,3354,36334
312,EXOTIC,4810,40829,3374,36326
313,EXOTIC,34958,39799,3325,36296
314,EXOTIC,33952,38872,3277,36279
315,EXOTIC,28437,42419,3239,36262
316,EXOTIC,27560,41473,3195,36253
317,EXOTIC,26733,40451,3155,36239
318,EXOTIC,25944,39453,3109,36221
319,EXOTIC,25144,38511,3069,36207
320,EXOTIC,24462,37592,3033,36192
321,EXOTIC,23756,36717,2993,36173
322,EXOTIC,23094,35403,3409,36166
323,EXOTIC,22419,34313,3684,36147
324,EXOTIC,21779,33309,3874,36141
325,EXOTIC,27625,32473,3875,36134
326,EXOTIC,26803,31698,3831,36118
327,EXOTIC,6107,50903,3778,36097
328,EXOTIC,5924,49729,3733,36079
329,EXOTIC,5781,48503,3685,36066
330,EXOTIC,5590,47336,3645,36053
331,EXOTIC,5415,46162,3594,36041
332,EXOTIC,5247,45109,3548,36025
333,EXOTIC,5104,44034,3493,36010
334,EXOTIC,4938,42847,3516,35992
335,EXOTIC,4820,41682,3556,35977
336,EXOTIC,4661,40595,3579,35956
337,EXOTIC,34573,39648,3542,35940
338,EXOTIC,33598,38742,3506,35926
