cycle,'NATIVE',length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT)))
299,NATIVE,81724,130660,18493,13976
300,NATIVE,75377,134806,18479,14006
301,NATIVE,72279,135516,18667,14000
302,NATIVE,71471,134041,18826,14011
303,NATIVE,70688,132445,19096,14025
304,NATIVE,69845,131119,19196,14029
305,NATIVE,78807,129795,19217,14041
306,NATIVE,88543,128617,19141,14058
307,NATIVE,97927,127410,19078,14083
308,NATIVE,96813,126266,19048,14095
309,NATIVE,94918,125778,19044,14089
310,NATIVE,88376,130008,19058,14097
311,NATIVE,83044,132946,19095,14111
312,NATIVE,76788,136926,19076,14146
313,NATIVE,73685,137780,19089,14149
314,NATIVE,72824,136321,19186,14161
315,NATIVE,71918,134704,19351,14195
316,NATIVE,71028,133266,19437,14254
317,NATIVE,80326,131940,19503,14266
318,NATIVE,89294,130717,19426,14298
319,NATIVE,98974,129482,19370,14332
320,NATIVE,97761,128278,19315,14373
321,NATIVE,95772,127822,19300,14427
322,NATIVE,88923,132338,19299,14429
323,NATIVE,83338,135575,19298,14441
324,NATIVE,77174,139458,19313,14446
325,NATIVE,74156,140180,19395,14471
326,NATIVE,73287,138793,19477,14496
327,NATIVE,72477,137281,19626,14537
328,NATIVE,71605,135863,19710,14568
329,NATIVE,81202,134473,19741,14614
330,NATIVE,90580,133219,19662,14637
331,NATIVE,99572,132017,19611,14657
332,NATIVE,98423,130782,19556,14677
333,NATIVE,96399,130504,19536,14720
334,NATIVE,89359,135166,19590,14733
335,NATIVE,83730,138487,19579,14753
336,NATIVE,77265,142632,19549,14794
337,NATIVE,74226,143284,19620,14856
338,NATIVE,73349,141688,19778,14877
339,NATIVE,72496,140103,19995,14885
340,NATIVE,71619,138595,20055,14951
341,NATIVE,81520,137283,20046,14971
342,NATIVE,91184,135976,19925,15040
343,NATIVE,100696,134684,19886,15079
344,NATIVE,99491,133444,19831,15091
345,NATIVE,97547,132898,19854,15099
346,NATIVE,90963,137068,19904,15114
347,NATIVE,85190,140445,19903,15118
348,NATIVE,78609,144666,19919,15124
349,NATIVE,75488,145374,20026,15141
350,NATIVE,74578,143824,20183,15165
351,NATIVE,73738,142119,20477,15184
352,NATIVE,72818,140580,20608,15211
353,NATIVE,82227,139184,20615,15232
354,NATIVE,92214,137909,20530,15269
355,NATIVE,101946,136590,20458,15296
356,NATIVE,100778,135249,20424,15303
357,NATIVE,98797,134768,20381,15342
358,NATIVE,91846,139225,20379,15371
359,NATIVE,86119,142482,20379,15401
360,NATIVE,79567,146717,20377,15416
361,NATIVE,76298,147601,20429,15458
362,NATIVE,75427,146032,20561,15481
363,NATIVE,74521,144360,20826,15508
364,NATIVE,73674,142763,20939,15544
365,NATIVE,83440,141280,20997,15566
366,NATIVE,92890,139986,20903,15589
367,NATIVE,102915,138726,20833,15617
368,NATIVE,101647,137417,20793,15634
369,NATIVE,99563,137012,20791,15663
370,NATIVE,92487,141558,20778,15680
371,NATIVE,86682,144896,20778,15706
372,NATIVE,80229,148974,20781,15721
373,NATIVE,77082,149620,20875,15739
374,NATIVE,76162,148028,21023,15759
375,NATIVE,75328,146276,21251,15796
376,NATIVE,74464,144642,21392,15824
377,NATIVE,84458,143159,21455,15852
378,NATIVE,94237,141843,21373,15881
379,NATIVE,103709,140567,21289,15918
380,NATIVE,102511,139238,21236,15936
381,NATIVE,100382,138773,21239,15961
382,NATIVE,93134,143583,21249,15983
383,NATIVE,87135,147059,21222,16024
384,NATIVE,80499,151134,21178,16053
385,NATIVE,77267,151883,21281,16090
386,NATIVE,76332,150172,21471,16093
387,NATIVE,75399,148448,21784,16109
388,NATIVE,74516,146872,21888,16109
389,NATIVE,84826,145472,21913,16113
390,NATIVE,94825,144102,21825,16135
391,NATIVE,104690,142762,21804,16146
392,NATIVE,103427,141352,21769,16155
393,NATIVE,101405,140841,21755,16170
394,NATIVE,94451,145157,21800,16179
395,NATIVE,88414,148677,21784,16198
396,NATIVE,81568,152975,21779,16214
397,NATIVE,78300,153668,21910,16223
398,NATIVE,77446,151986,22124,16249
399,NATIVE,76547,150168,22442,16266
400,NATIVE,75655,148455,22573,16289
401,NATIVE,85420,146952,22615,16310
402,NATIVE,95728,145592,22503,16329
403,NATIVE,105762,144173,22437,16350
404,NATIVE,104538,142809,22381,16368
405,NATIVE,102482,142249,22352,16386
406,NATIVE,95170,146952,22375,16400
407,NATIVE,89223,150306,22373,16415
408,NATIVE,82337,154621,22348,16438
409,NATIVE,79041,155316,22452,16442
410,NATIVE,78086,153602,22580,16480
411,NATIVE,77169,151773,22893,16500
412,NATIVE,76315,150099,23058,16524
413,NATIVE,86335,148594,23131,16548
414,NATIVE,96143,147263,23027,16569
415,NATIVE,106405,145869,22940,16621
416,NATIVE,105200,144473,22839,16666
417,NATIVE,103135,143939,22834,16671
418,NATIVE,95861,148529,22832,16704
419,NATIVE,89800,151949,22819,16736
420,NATIVE,83063,156124,22806,16788
421,NATIVE,79822,156805,22877,16836
422,NATIVE,78856,155020,23068,16835
423,NATIVE,77913,153117,23369,16883
424,NATIVE,76996,151457,23527,16895
425,NATIVE,87222,149900,23513,16980
426,NATIVE,97340,148582,23395,17004
427,NATIVE,107206,147170,23242,17111
428,NATIVE,105914,145818,23152,17142
429,NATIVE,103780,145378,23138,17158
430,NATIVE,96287,150236,23179,17171
431,NATIVE,90074,153802,23193,17171
432,NATIVE,83042,158305,23178,17191
433,NATIVE,79690,159008,23296,17197
434,NATIVE,78751,157298,23474,17215
435,NATIVE,77840,155449,23768,17228
436,NATIVE,76954,153771,23849,17259
437,NATIVE,87460,152213,23874,17286
438,NATIVE,97782,150772,23802,17292
439,NATIVE,107902,149369,23743,17293
440,NATIVE,106676,147884,23663,17322
441,NATIVE,104530,147304,23673,17333
442,NATIVE,97162,151925,23704,17350
443,NATIVE,90960,155530,23716,17349
444,NATIVE,83941,159962,23693,17377
445,NATIVE,80588,160580,23814,17395
446,NATIVE,79637,158787,24018,17423
447,NATIVE,78746,156901,24347,17441
448,NATIVE,77895,155159,24520,17457
449,NATIVE,87964,153603,24544,17487
450,NATIVE,98435,152220,24444,17513
451,NATIVE,108733,150714,24364,17523
452,NATIVE,107448,149302,24326,17546
453,NATIVE,105231,148751,24293,17566
454,NATIVE,97745,153526,24300,17574
455,NATIVE,91750,156896,24264,17597
456,NATIVE,84721,161318,24265,17592
457,NATIVE,81242,162080,24330,17623
458,NATIVE,80283,160282,24517,17639
459,NATIVE,79330,158409,24820,17677
460,NATIVE,78374,156641,25007,17680
461,NATIVE,88738,155061,25037,17710
462,NATIVE,98918,153613,24918,17747
463,NATIVE,109463,152115,24840,17778
464,NATIVE,108207,150633,24795,17794
465,NATIVE,106005,150046,24767,17827
466,NATIVE,98411,154895,24788,17835
467,NATIVE,92195,158404,24748,17881
468,NATIVE,85253,162716,24731,17891
469,NATIVE,81874,163427,24858,17893
470,NATIVE,80899,161669,25008,17918
471,NATIVE,79969,159674,25321,17950
472,NATIVE,79031,157976,25468,17957
473,NATIVE,89535,156364,25534,17962
474,NATIVE,99849,154945,25430,17978
475,NATIVE,109962,153555,25351,17989
476,NATIVE,108651,152097,25313,17989
477,NATIVE,106376,151579,25315,18006
478,NATIVE,98715,156476,25315,18025
479,NATIVE,92359,160133,25327,18030
480,NATIVE,85307,164548,25325,18045
481,NATIVE,81855,165282,25449,18032
482,NATIVE,80893,163465,25615,18052
483,NATIVE,79877,161560,25916,18066
484,NATIVE,79000,159771,26074,18072
485,NATIVE,89597,158104,26115,18085
486,NATIVE,100085,156635,26031,18089
487,NATIVE,110407,155164,25937,18132
